"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.348401857E0,-5.674133301E-1,9.614990234E0,-8.533828735E0
1.353437257E0,-5.439758301E-1,9.648040771E0,-8.437744141E0
1.358472658E0,-5.736846924E-1,9.664764404E0,-8.416061401E0
1.363508058E0,-5.976867676E-1,9.638214111E0,-8.476470947E0
1.368543459E0,-5.499114990E-1,9.647354126E0,-8.520294189E0
1.373578859E0,-5.547790527E-1,9.654220581E0,-8.485671997E0
1.378614259E0,-5.868988037E-1,9.617599487E0,-8.504318237E0
1.383649660E0,-6.268463135E-1,9.609222412E0,-8.489456177E0
1.388685060E0,-5.940856934E-1,9.648132324E0,-8.500823975E0
1.393720461E0,-5.835113525E-1,9.661361694E0,-8.477996826E0
1.398755861E0,-5.845184326E-1,9.630523682E0,-8.520050049E0
1.403791261E0,-5.883941650E-1,9.622909546E0,-8.505401611E0
1.408826662E0,-5.736541748E-1,9.638168335E0,-8.524429321E0
1.413862062E0,-5.701751709E-1,9.637145996E0,-8.486038208E0
1.418897462E0,-5.839233398E-1,9.618286133E0,-8.465942383E0
1.423932863E0,-5.988464355E-1,9.626388550E0,-8.524719238E0
1.428968263E0,-5.869445801E-1,9.626022339E0,-8.501388550E0
1.434003664E0,-5.532073975E-1,9.631179810E0,-8.465332031E0
1.439039064E0,-5.395660400E-1,9.629394531E0,-8.476989746E0
1.444074464E0,-5.431671143E-1,9.613739014E0,-8.437545776E0
1.449109865E0,-5.952911377E-1,9.629486084E0,-8.418609619E0
1.454145265E0,-5.937194824E-1,9.637268066E0,-8.456527710E0
1.459180666E0,-5.493011475E-1,9.635391235E0,-8.480087280E0
1.464216066E0,-5.908050537E-1,9.614501953E0,-8.405822754E0
1.469251466E0,-5.737304688E-1,9.636230469E0,-8.336853027E0
1.474286867E0,-5.628204346E-1,9.645645142E0,-8.348953247E0
1.479322267E0,-5.737152100E-1,9.625930786E0,-8.378295898E0
1.484357668E0,-5.635833740E-1,9.644317627E0,-8.418624878E0
1.489393068E0,-5.783843994E-1,9.640029907E0,-8.445251465E0
1.494428468E0,-5.841979980E-1,9.623809814E0,-8.470687866E0
1.499463869E0,-5.826873779E-1,9.625137329E0,-8.455047607E0
1.504499269E0,-5.922698975E-1,9.652435303E0,-8.435409546E0
1.509534669E0,-5.891571045E-1,9.637817383E0,-8.465560913E0
1.514570070E0,-5.821533203E-1,9.652542114E0,-8.467666626E0
1.519605470E0,-5.752410889E-1,9.647674561E0,-8.439727783E0
1.524640871E0,-6.006927490E-1,9.616012573E0,-8.461212158E0
1.529676271E0,-6.138916016E-1,9.621978760E0,-8.411499023E0
1.534711671E0,-5.934600830E-1,9.631958008E0,-8.447891235E0
1.539747072E0,-5.583343506E-1,9.605880737E0,-8.423049927E0
1.544782472E0,-6.098022461E-1,9.621215820E0,-8.400756836E0
1.549817873E0,-6.050109863E-1,9.638412476E0,-8.439544678E0
1.554853273E0,-6.296539307E-1,9.606918335E0,-8.461990356E0
1.559888673E0,-6.161956787E-1,9.629028320E0,-8.454895020E0
1.564924074E0,-5.892181396E-1,9.666564941E0,-8.479248047E0
1.569959474E0,-6.195220947E-1,9.653411865E0,-8.508178711E0
1.574994875E0,-6.042633057E-1,9.606674194E0,-8.509719849E0
1.580030275E0,-6.247100830E-1,9.632614136E0,-8.525283813E0
