"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.494428468E0,-3.051757812E-4,3.890991211E-3,-1.062011719E-2
1.499463869E0,-1.068115234E-4,1.739501953E-3,-1.081848145E-2
1.504499269E0,9.765625000E-4,1.525878906E-3,-1.126098633E-2
1.509534669E0,1.403808594E-3,1.953125000E-3,-1.060485840E-2
1.514570070E0,1.403808594E-3,1.281738281E-3,-1.019287109E-2
1.519605470E0,2.075195312E-3,-4.730224609E-4,-1.019287109E-2
1.524640871E0,2.471923828E-3,-5.798339844E-4,-1.086425781E-2
1.529676271E0,1.083374023E-3,-1.831054688E-4,-1.126098633E-2
1.534711671E0,3.356933594E-4,-1.831054688E-4,-1.126098633E-2
1.539747072E0,1.037597656E-3,-1.617431641E-3,-1.126098633E-2
1.544782472E0,2.120971680E-3,-3.051757812E-3,-1.126098633E-2
1.549817873E0,2.471923828E-3,-1.937866211E-3,-1.052856445E-2
1.554853273E0,1.724243164E-3,-5.187988281E-4,-1.092529297E-2
1.559888673E0,2.151489258E-3,-9.460449219E-4,-1.049804688E-2
1.564924074E0,2.471923828E-3,-2.777099609E-3,-8.666992188E-3
1.569959474E0,2.471923828E-3,-3.387451172E-3,-8.056640625E-3
1.574994875E0,3.234863281E-3,-3.387451172E-3,-8.056640625E-3
1.580030275E0,4.318237305E-3,-2.609252930E-3,-8.056640625E-3
1.585065675E0,3.005981445E-3,-7.324218750E-4,-8.850097656E-3
1.590101076E0,1.663208008E-3,-1.785278320E-3,-9.124755859E-3
1.595136476E0,3.021240234E-3,-4.760742188E-3,-9.124755859E-3
1.600171877E0,3.540039062E-3,-7.995605469E-3,-9.124755859E-3
1.605207277E0,3.540039062E-3,-7.904052734E-3,-8.285522461E-3
1.610242677E0,1.007080078E-3,-4.302978516E-3,-8.056640625E-3
1.615278078E0,2.029418945E-3,-1.693725586E-3,-7.202148438E-3
1.620313478E0,3.326416016E-3,-3.845214844E-3,-7.843017578E-3
1.625348878E0,2.670288086E-3,-8.789062500E-3,-9.780883789E-3
1.630384279E0,4.226684570E-3,-1.156616211E-2,-9.307861328E-3
1.635419679E0,3.707885742E-3,-9.277343750E-3,-9.124755859E-3
1.640455080E0,3.540039062E-3,-3.341674805E-3,-1.000976562E-2
1.645490480E0,1.724243164E-3,-5.187988281E-4,-8.377075195E-3
1.650525880E0,2.304077148E-3,-3.799438477E-3,-8.056640625E-3
1.655561281E0,4.302978516E-3,-8.148193359E-3,-8.056640625E-3
1.660596681E0,3.662109375E-3,-1.060485840E-2,-7.110595703E-3
1.665632082E0,3.540039062E-3,-9.933471680E-3,-6.988525391E-3
1.670667482E0,3.540039062E-3,-7.904052734E-3,-6.988525391E-3
1.675702882E0,2.563476562E-3,-4.776000977E-3,-7.949829102E-3
1.680738283E0,2.471923828E-3,-6.408691406E-3,-8.056640625E-3
1.685773683E0,4.425048828E-3,-1.152038574E-2,-6.088256836E-3
1.690809084E0,5.584716797E-3,-1.391601562E-2,-5.920410156E-3
1.695844484E0,5.676269531E-3,-1.208496094E-2,-5.920410156E-3
1.700879884E0,3.646850586E-3,-6.896972656E-3,-5.920410156E-3
1.705915285E0,3.540039062E-3,-4.562377930E-3,-4.898071289E-3
1.710950685E0,3.540039062E-3,-7.553100586E-3,-4.852294922E-3
1.715986086E0,5.599975586E-3,-1.284790039E-2,-4.852294922E-3
1.721021486E0,5.676269531E-3,-1.405334473E-2,-4.852294922E-3
1.726056886E0,4.608154297E-3,-1.196289062E-2,-6.958007812E-3
1.731092287E0,4.608154297E-3,-8.758544922E-3,-6.988525391E-3
1.736127687E0,4.608154297E-3,-8.758544922E-3,-6.988525391E-3
1.741163087E0,4.608154297E-3,-1.196289062E-2,-6.973266602E-3
1.746198488E0,5.676269531E-3,-1.412963867E-2,-5.935668945E-3
1.751233888E0,5.676269531E-3,-1.625061035E-2,-6.942749023E-3
1.756269289E0,5.722045898E-3,-1.722717285E-2,-5.920410156E-3
1.761304689E0,6.683349609E-3,-1.603698730E-2,-5.859375000E-3
1.766340089E0,5.737304688E-3,-1.286315918E-2,-4.913330078E-3
1.771375490E0,6.744384766E-3,-1.095581055E-2,-5.828857422E-3
1.776410890E0,6.744384766E-3,-1.219177246E-2,-4.760742188E-3
1.781446291E0,6.835937500E-3,-1.495361328E-2,-3.784179688E-3
1.786481691E0,7.705688477E-3,-1.280212402E-2,-3.875732422E-3
1.791517091E0,6.622314453E-3,-1.086425781E-2,-4.730224609E-3
1.796552492E0,5.676269531E-3,-1.098632812E-2,-3.540039062E-3
1.801587892E0,5.676269531E-3,-1.206970215E-2,-1.770019531E-3
1.806623293E0,5.798339844E-3,-1.313781738E-2,-2.716064453E-3
1.811658693E0,6.591796875E-3,-1.393127441E-2,-2.563476562E-3
1.816694093E0,5.828857422E-3,-1.254272461E-2,-1.327514648E-3
1.821729494E0,6.408691406E-3,-9.643554688E-3,3.356933594E-4
1.826764894E0,4.959106445E-3,-9.094238281E-3,-5.798339844E-4
1.831800294E0,6.744384766E-3,-1.142883301E-2,-3.814697266E-4
1.836835695E0,6.347656250E-3,-1.368713379E-2,4.882812500E-4
