"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
3.751742556E2;5.105146123E1;1.376561849E1;1.103946052E2;7.241911888E0;9.944683075E1;4.470662594E0;3.000000000E0
3.761741216E2;5.105145257E1;1.376572246E1;1.107452397E2;7.202543736E0;9.970552063E1;4.470696449E0;3.000000000E0
3.771741506E2;5.105144427E1;1.376582607E1;1.111311644E2;7.260163307E0;9.929557800E1;4.470730305E0;3.000000000E0
3.781741596E2;5.105143479E1;1.376593172E1;1.113440643E2;7.357594490E0;9.879061890E1;4.470764160E0;3.000000000E0
3.791741956E2;5.105142585E1;1.376603457E1;1.116772137E2;7.416373253E0;9.833460236E1;4.470797062E0;3.000000000E0
3.801742026E2;5.105141972E1;1.376613457E1;1.120424746E2;7.223458290E0;9.697884369E1;4.470830917E0;3.000000000E0
3.811742136E2;5.105141255E1;1.376623645E1;1.122312118E2;7.133833408E0;9.875605774E1;4.470864296E0;3.000000000E0
3.821742746E2;5.105140221E1;1.376634416E1;1.122368445E2;7.254325390E0;1.004781952E2;4.470897198E0;3.000000000E0
3.831742486E2;5.105138974E1;1.376644745E1;1.122421324E2;7.204647064E0;9.987712097E1;4.470930576E0;3.000000000E0
3.841742746E2;5.105137734E1;1.376655086E1;1.122418862E2;7.146873474E0;1.002479324E2;4.470963001E0;3.000000000E0
3.851743076E2;5.105136303E1;1.376665108E1;1.123302730E2;7.088446617E0;9.980006409E1;4.470996857E0;3.000000000E0
3.861743206E2;5.105135037E1;1.376675087E1;1.123096692E2;7.390198708E0;9.871611786E1;4.471029282E0;3.000000000E0
3.871743656E2;5.105133795E1;1.376685570E1;1.120326442E2;7.274844646E0;9.933955383E1;4.471062183E0;3.000000000E0
3.881743756E2;5.105132718E1;1.376695939E1;1.118341075E2;7.157413960E0;9.960149384E1;4.471094131E0;3.000000000E0
3.891744016E2;5.105131759E1;1.376705937E1;1.115244116E2;7.122035027E0;9.958941650E1;4.471126556E0;3.000000000E0
3.901744186E2;5.105130884E1;1.376716750E1;1.110833983E2;7.047296524E0;9.866690826E1;4.471158981E0;3.000000000E0
3.911744166E2;5.105129968E1;1.376726985E1;1.107972702E2;7.079825878E0;9.904074860E1;4.471191883E0;3.000000000E0
3.921746356E2;5.105128999E1;1.376736778E1;1.105404365E2;7.139069080E0;9.820751190E1;4.471223831E0;3.000000000E0
3.931744756E2;5.105127773E1;1.376746511E1;1.105588285E2;7.032019138E0;1.007842560E2;4.471256256E0;3.000000000E0
3.941745066E2;5.105126364E1;1.376756931E1;1.108238797E2;6.928213120E0;1.044860992E2;4.471288204E0;3.000000000E0
3.951745336E2;5.105124600E1;1.376766883E1;1.109010056E2;6.776927948E0;1.018327332E2;4.471319675E0;3.000000000E0
