"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3.496039123E0;8.818984032E-3;1.623898977E-3;-2.256393433E-3
3.514078736E0;1.341795921E-2;5.011019763E-3;1.463890076E-3
3.532114929E0;1.642394066E-2;2.183879958E-3;7.202148438E-3
3.550160766E0;9.071707726E-3;4.714273382E-3;6.437301636E-4
3.568197570E0;1.319086552E-2;3.684917465E-3;-2.708435059E-4
3.586232299E0;1.065307856E-2;9.240859188E-3;-4.453659058E-3
3.604271606E0;8.438110352E-3;2.963690553E-3;-3.019332886E-3
3.622313172E0;1.071453094E-2;1.218579710E-3;-1.153945923E-3
3.640358704E0;8.054018021E-3;-2.158123534E-3;7.238388062E-4
3.658395629E0;3.241240978E-3;5.457338877E-3;3.786087036E-4
3.676434875E0;6.567835808E-3;8.361784741E-3;8.358955383E-3
3.694474487E0;8.642375469E-3;3.058896400E-3;4.444122314E-3
3.712499390E0;8.640050888E-3;5.088893231E-4;9.678840637E-3
3.730556946E0;7.965862751E-3;2.278359607E-4;5.903244019E-4
3.748592468E0;1.360702515E-2;5.458674394E-3;-6.132125854E-3
3.766629150E0;1.258552074E-2;3.952801693E-3;-7.297515869E-3
3.784675720E0;1.839715242E-2;3.721807152E-3;-2.611160278E-3
3.802712220E0;5.158066750E-3;2.220403869E-3;4.565238953E-3
3.820751342E0;1.066225767E-2;2.630306408E-4;2.761840820E-3
3.838790954E0;1.197665930E-2;2.583212219E-3;-2.388000488E-3
3.856830993E0;1.373249292E-2;2.169644693E-3;-4.396438599E-4
3.874870728E0;1.876217127E-2;1.948071062E-3;-2.210617065E-3
3.892909668E0;1.382935047E-2;-2.709777909E-4;-2.327919006E-3
3.910947815E0;6.153762341E-3;3.674512031E-3;-6.580352783E-5
3.928990539E0;1.338088512E-2;8.112976328E-3;5.146980286E-3
3.947013793E0;1.719349623E-2;8.007273427E-4;2.855300903E-3
3.965067688E0;2.076125145E-2;5.677620415E-3;4.808425903E-3
3.983107666E0;1.658391953E-2;3.618859686E-3;3.316879272E-3
4.001145569E0;1.665431261E-2;1.007964555E-2;6.017684937E-3
4.019189636E0;1.762962341E-2;9.337229654E-3;4.628181458E-3
4.037226318E0;1.736807823E-2;4.334277473E-3;3.111839294E-3
4.055266479E0;1.474481821E-2;3.303461941E-3;2.903938293E-3
4.073305969E0;1.690649986E-2;2.050769399E-4;-7.629394531E-5
4.091344849E0;5.190014839E-3;6.804069504E-3;7.813453674E-3
4.109385742E0;1.537060738E-2;-3.212078242E-3;1.357078552E-3
4.127424377E0;1.133704185E-2;3.349988488E-3;8.175849915E-3
4.145461426E0;8.856236935E-3;2.674844000E-4;4.381179810E-3
4.163506775E0;9.611368179E-3;3.983649891E-3;6.866455078E-5
4.181543274E0;1.003241539E-2;7.183992770E-3;5.283355713E-3
4.199583007E0;9.578824043E-3;5.776171573E-3;8.782386780E-3
4.217606079E0;1.418530941E-2;3.110907506E-3;-1.328468323E-3
4.235659790E0;1.153302193E-2;1.455378020E-3;-1.858711243E-3
4.253704407E0;1.488399506E-2;4.162927624E-3;2.969741821E-3
4.271741516E0;1.022452116E-2;1.683579758E-4;3.725051880E-3
4.289781066E0;1.620483398E-2;4.127760418E-3;-1.618385315E-3
4.307821166E0;1.815819740E-2;1.867429819E-4;3.796577454E-3
4.325856262E0;1.265066862E-2;5.423731171E-3;8.869171143E-5
4.343899719E0;1.159828901E-2;3.365308512E-4;2.862930298E-3
4.361939209E0;1.845389605E-2;-2.826146781E-3;2.858161926E-3
4.379980042E0;1.417636871E-2;8.515099995E-3;4.173278809E-3
4.398017761E0;1.446920633E-2;3.265178995E-3;-1.205444336E-3
4.416053527E0;1.490050554E-2;5.259870552E-3;2.247810364E-3
4.434098022E0;1.688730717E-2;8.481952827E-4;4.310607910E-3
4.452125794E0;9.187459946E-3;-1.841796096E-3;2.625465393E-3
4.470176758E0;1.213687658E-2;-2.248783130E-3;-4.469871521E-3
4.488216857E0;1.270306110E-2;-1.258758013E-3;3.137588501E-4
4.506256530E0;1.357752085E-2;6.873890758E-3;7.619857788E-4
4.524295715E0;1.610881090E-2;-2.347641625E-3;3.255844116E-3
4.542331726E0;1.494240761E-2;3.169478849E-3;-1.042366028E-3
4.560378479E0;1.379954815E-2;1.489376556E-2;1.199722290E-3
4.578414672E0;9.096026421E-3;1.281996258E-3;1.042366028E-3
4.596454223E0;7.345318794E-3;6.482877769E-3;1.212120056E-3
4.614491699E0;1.199537516E-2;7.964876480E-3;4.886627197E-3
4.632535583E0;1.156562567E-2;5.227570422E-3;1.380920410E-3
4.650573242E0;1.662302017E-2;-1.106072217E-3;-1.287460327E-3
4.668612976E0;1.241463423E-2;2.574716695E-3;5.817413330E-5
4.686651855E0;1.829648018E-2;-5.004175473E-4;4.974365234E-3
4.704691955E0;1.446950436E-2;8.804485202E-3;3.786087036E-4
4.722731506E0;1.523673534E-2;2.084109932E-3;-3.414154053E-3
4.740771363E0;1.157277822E-2;4.012716934E-3;9.346008301E-5
4.758807556E0;5.699753761E-2;-2.911721542E-2;-3.770828247E-3
4.776853454E0;-1.041495800E-1;9.645863436E-3;-2.775096893E-2
4.794889953E0;2.243149281E-2;1.883150078E-2;1.391410828E-2
4.812930297E0;2.121156454E-2;9.095391259E-3;1.228332520E-3
4.830956604E0;-2.117896080E-2;-4.314067587E-2;-6.420135498E-3
4.849005860E0;1.203215718E-1;7.381634414E-2;-3.976440430E-2
