"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.209716903E0,3.893418908E-1,3.497695923E-2,6.601810455E-2
1.214691268E0,5.737512112E-1,1.640701294E-2,-3.091521263E-1
1.219665633E0,1.428969800E-1,-9.171104431E-2,5.057525635E-2
1.224639998E0,6.787124276E-1,7.232284546E-2,1.308503151E-1
1.229614364E0,3.198822141E-1,-3.417587280E-2,-1.012039185E-1
1.234588729E0,1.859750450E-1,-7.556915283E-3,-2.440404892E-2
1.239563094E0,5.041975379E-1,8.261394501E-2,-3.790569305E-2
1.244537459E0,2.509818077E-1,-4.512119293E-2,-1.823043823E-2
1.249511825E0,4.058318436E-1,1.943206787E-2,-1.474065781E-1
1.254516707E0,3.654749990E-1,2.441310883E-2,-8.194875717E-2
1.259491073E0,2.425001860E-1,5.698204041E-3,-9.261751175E-2
1.264465438E0,2.430060804E-1,1.081180573E-2,-1.927962303E-1
1.269439803E0,3.282359838E-1,7.260513306E-2,-6.542539597E-2
1.274414168E0,2.356719673E-1,8.192825317E-2,-4.064750671E-2
1.279388534E0,2.263686061E-1,5.340194702E-2,-1.435422897E-1
1.284362899E0,1.956301928E-1,1.562976837E-2,-3.788948059E-2
1.289337264E0,3.067228198E-1,4.894924164E-2,-1.149272919E-1
1.294311629E0,2.636283636E-1,-5.307197571E-3,-2.550148964E-1
1.299285995E0,2.943373322E-1,7.070255280E-2,-1.933255196E-1
1.304260360E0,2.210635841E-1,7.760334015E-2,-5.428266525E-2
1.309234725E0,1.274505854E0,3.276119232E-1,-2.090802193E-1
1.314209090E0,-6.332383156E-1,-3.332576752E-1,-2.067971230E-1
1.319183456E0,1.407563448E0,9.785652161E-3,-6.059660912E-1
1.324188338E0,-3.506440818E-1,1.586074829E-1,3.458871841E-1
1.329132186E0,4.131086767E-1,-8.091831207E-2,-2.941107750E-1
1.334137069E0,-1.535235047E-1,-3.753662109E-2,-5.773830414E-2
1.339111434E0,3.967435658E-1,9.515857697E-2,-3.583621979E-2
1.344085799E0,2.247384191E-2,3.563785553E-2,9.575843811E-3
1.349060165E0,4.703496993E-1,9.939670563E-2,-6.573104858E-2
1.354034530E0,3.188404739E-1,-3.547668457E-4,-2.065944672E-1
1.359008895E0,2.835987806E-1,4.934310913E-2,-3.652615547E-1
1.363983260E0,1.070407629E-1,2.072906494E-2,-5.993652344E-2
1.368957625E0,2.227509618E-1,3.488254547E-2,-1.678705215E-2
1.373931991E0,2.126882672E-1,1.592636108E-2,-4.475641251E-2
1.378906356E0,2.690986097E-1,6.092548370E-2,-3.701972961E-2
1.383880721E0,3.441551030E-1,3.473854065E-2,1.193647385E-1
1.388855086E0,1.683343947E-1,-7.788658142E-3,2.654600143E-2
1.393829452E0,1.967106760E-1,2.550125122E-2,-6.558322906E-2
1.398803817E0,2.200331390E-1,5.839920044E-2,-8.371829987E-3
1.403778182E0,3.237397671E-1,4.379558563E-2,-1.776838303E-2
1.408752547E0,1.932988763E-1,4.824066162E-2,-2.941322327E-2
1.413818465E0,2.860385180E-1,3.843021393E-2,-9.769535065E-2
1.418701278E0,1.535165906E-1,7.323265076E-3,-1.183562279E-1
1.423706161E0,1.635891199E-1,-4.489040375E-2,-2.286949158E-1
1.428680526E0,6.978553534E-2,5.671024323E-2,1.730918884E-3
1.433654891E0,1.067431867E-1,4.882240295E-2,3.659248352E-2
1.438629256E0,8.188566566E-2,1.023483276E-2,-6.112146378E-2
1.443603622E0,2.198630869E-1,-9.224891663E-3,-1.486678123E-1
1.448577987E0,1.725825369E-1,4.543304443E-3,-1.764483452E-1
1.453552352E0,9.060642123E-2,3.955841064E-2,-3.390502930E-2
1.458526717E0,3.076937795E-2,1.296615601E-2,-1.309013367E-1
1.463501082E0,1.125767827E-2,6.209278107E-2,-1.209020615E-1
1.468475448E0,-3.922852874E-2,-1.909828186E-2,9.194660187E-2
1.473449813E0,9.710824490E-2,3.964328766E-2,-4.871749878E-2
1.478424178E0,6.262129545E-2,1.067256927E-2,-1.054553986E-1
1.483398543E0,1.161448956E-1,1.514339447E-2,-1.639075279E-1
1.488403426E0,6.074178219E-2,5.031776428E-2,-1.321086884E-1
1.493377791E0,-3.942644596E-2,7.801914215E-2,-1.478934288E-1
1.498352157E0,-1.062025726E-1,1.559162140E-2,-1.023979187E-1
1.503326522E0,-1.512748599E-1,2.438640594E-2,-1.848931313E-1
1.508300887E0,-9.647521377E-2,-4.617691040E-3,-8.962297440E-2
