"Time (s)";"Latitude (°)";"Longitude (°)";"Height (m)";"Velocity (m/s)";"Direction (°)";"Horizontal Accuracy (m)";"Vertical Accuracy (m)"
1.903960694E2;5.104696191E1;1.377178964E1;1.150291620E2;5.949684620E0;2.242218781E2;4.123538017E0;3.000000000E0
1.913961224E2;5.104694980E1;1.377169231E1;1.134270744E2;5.706297398E0;2.611673584E2;4.169991493E0;3.000000000E0
1.923961184E2;5.104696436E1;1.377159226E1;1.123110394E2;6.234961033E0;2.915592346E2;4.170021534E0;3.000000000E0
1.933961524E2;5.104699994E1;1.377150417E1;1.124405270E2;6.158848763E0;3.054994812E2;4.398495674E0;3.000000000E0
1.943961724E2;5.104705116E1;1.377143205E1;1.124637109E2;6.025733471E0;3.061539917E2;4.038597107E0;3.000000000E0
1.953961864E2;5.104709243E1;1.377135874E1;1.122769686E2;6.141320229E0;3.037591858E2;4.683354855E0;3.000000000E0
1.963961944E2;5.104712527E1;1.377128136E1;1.124034515E2;6.299226761E0;3.006240234E2;4.678742886E0;3.000000000E0
1.973962314E2;5.104715528E1;1.377120022E1;1.125581377E2;6.554410458E0;3.022247925E2;4.683178425E0;3.000000000E0
1.983962364E2;5.104718681E1;1.377112006E1;1.125325779E2;6.633018017E0;3.037146301E2;4.683090210E0;3.000000000E0
1.993962524E2;5.104721883E1;1.377103753E1;1.125058507E2;6.667594910E0;3.034960632E2;4.166503429E0;3.000000000E0
2.003962834E2;5.104725041E1;1.377095697E1;1.126174652E2;6.595377922E0;3.012413025E2;4.166454792E0;3.000000000E0
2.013962944E2;5.104728051E1;1.377087398E1;1.125236949E2;6.674992085E0;3.018422546E2;4.225306988E0;3.000000000E0
2.023963574E2;5.104731900E1;1.377079812E1;1.124619299E2;6.744207382E0;3.018878174E2;4.682739735E0;3.000000000E0
2.033963554E2;5.104735348E1;1.377071751E1;1.125789844E2;6.614049911E0;3.028209839E2;4.682651520E0;3.000000000E0
2.043963474E2;5.104738581E1;1.377063792E1;1.127638517E2;6.627814293E0;3.037622986E2;4.166260242E0;3.000000000E0
2.053963824E2;5.104741618E1;1.377054875E1;1.131116215E2;6.628874302E0;3.024821167E2;4.203760147E0;3.000000000E0
2.063963944E2;5.104744572E1;1.377046533E1;1.132743591E2;6.705196857E0;3.016954956E2;4.203664303E0;3.000000000E0
2.073964244E2;5.104747578E1;1.377038733E1;1.131498252E2;6.688242435E0;3.013058167E2;4.203569412E0;3.000000000E0
2.083964374E2;5.104750599E1;1.377031486E1;1.128082419E2;6.693892002E0;3.015522156E2;4.129878521E0;3.000000000E0
2.093964854E2;5.104753943E1;1.377024178E1;1.124772877E2;6.650673389E0;3.023953552E2;4.872310162E0;3.000000000E0
2.103964874E2;5.104756991E1;1.377016073E1;1.125633025E2;6.571874142E0;3.020559387E2;4.716238976E0;3.000000000E0
2.113965154E2;5.104760083E1;1.377008415E1;1.124444068E2;6.515079975E0;3.017017517E2;4.042960644E0;3.000000000E0
2.123965164E2;5.104763011E1;1.377000171E1;1.124545922E2;6.318356991E0;2.991048584E2;4.040437698E0;3.000000000E0
2.133965444E2;5.104765858E1;1.376991676E1;1.122376289E2;6.248244762E0;2.987024536E2;4.200863361E0;3.000000000E0
2.143967244E2;5.104768495E1;1.376983302E1;1.120969518E2;6.315495968E0;2.965199890E2;4.563614368E0;3.000000000E0
2.153965884E2;5.104770825E1;1.376974814E1;1.119261368E2;6.329711437E0;2.922965088E2;4.349749565E0;3.000000000E0
2.163966104E2;5.104772568E1;1.376966044E1;1.117376001E2;6.312264919E0;2.881898804E2;4.727526665E0;3.000000000E0
2.173966304E2;5.104773917E1;1.376956892E1;1.117032340E2;6.345853806E0;2.855576172E2;4.681427002E0;3.000000000E0
2.183967784E2;5.104775246E1;1.376948026E1;1.117206178E2;6.493623734E0;2.856947327E2;4.789182186E0;3.000000000E0
2.193966814E2;5.104776658E1;1.376938987E1;1.117109190E2;6.472475052E0;2.856492615E2;5.025348663E0;3.000000000E0
2.203966924E2;5.104777980E1;1.376929876E1;1.116171345E2;6.396334171E0;2.846625061E2;4.110482216E0;3.000000000E0
2.213967174E2;5.104779486E1;1.376920765E1;1.115948701E2;6.360739231E0;2.883441162E2;4.225320339E0;3.000000000E0
2.223967414E2;5.104781135E1;1.376911293E1;1.117210838E2;6.399882317E0;2.889538879E2;4.110416412E0;3.000000000E0
2.233967544E2;5.104783153E1;1.376902678E1;1.118906944E2;6.420515060E0;2.921982117E2;4.199172974E0;3.000000000E0
2.243968024E2;5.104785485E1;1.376893873E1;1.121550368E2;6.423572063E0;2.906456604E2;4.680809498E0;3.000000000E0
2.253970784E2;5.104787399E1;1.376884904E1;1.121300065E2;6.475918770E0;2.868815918E2;4.680720329E0;3.000000000E0
2.263968214E2;5.104789047E1;1.376875719E1;1.121260105E2;6.600385189E0;2.850040283E2;4.165195942E0;3.000000000E0
2.273968354E2;5.104790577E1;1.376866563E1;1.120581558E2;6.606863976E0;2.852531128E2;4.165148258E0;3.000000000E0
2.283968544E2;5.104792076E1;1.376857267E1;1.121780973E2;6.668379784E0;2.861310120E2;4.110219955E0;3.000000000E0
2.293968864E2;5.104793945E1;1.376848530E1;1.121524037E2;6.606072426E0;2.861701050E2;4.165052414E0;3.000000000E0
2.303968974E2;5.104795818E1;1.376839719E1;1.121488609E2;6.540470600E0;2.875296936E2;4.165004730E0;3.000000000E0
